| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
